'cl_Colectas_copy1_IdColectas','cl_Personas_Recolectar','cl_Fecha_Inicio','cl_Fecha_Corte','cl_Fecha_Tratamiento','cl_Fecha_Embalaje','cl_Fecha_Extraccion','cl_Tipo_Extraccion','cl_Fecha_Carga_Envio','cl_Tipo_vehiculo','cl_Fecha_Llegada','cl_Fecha_Descarga','cl_Observaciones','cl_Nombre_Responsable_Tecnico','cl_Nombre_Responsable_operativo'
5571,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24','Herbácea de aprox. 80 cm de altura, hojas color verde, con flores y frutos color rosa intenso.                           Utilizada en Totontepec para lavar ropa y como tinte, se machaca y así se utiliza','Geovanni Mtz',
5572,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24','Arbusto de aprox. 2 m de altura, hojas color verde intenso en el haz y verde claro en el enves, inflorescencia con flores color rosa fiusha','Geovanni Mtz',
5573,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24',,'Geovanni Mtz',
5576,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24','Herbacea de aprox 1 m. de alto con inflorescencia de flores color rosa fuerte','Geovanni Mtz',
5577,1,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24',,'Geovanni Mtz',
5578,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24',,'Geovanni Mtz',
5579,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24','Herbácea de aprox. 1 m de alto, hojas color verde, coraceas, inflorescencia con flores color lila, aromaticas','Geovanni Mtz',
5580,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24',,'Geovanni Mtz',
5581,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24','Adalberto Jimenez Ambrosio 29 años. Utilizada en tiempo de calor y no hay agua cerca, se mastica el tallo cuando esta tierna','Geovanni Mtz',
5582,,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24',' Herbacea de aprox. 60cm de alto color verde limon con inflorescecias oscuras.  bajada de un arrollo temporal, pasando Totontepec','Geovanni Mtz',
